Unnamed: 0,MSN,StateCode,Year,Amount,State,CO2 Emissions (Mmt),TotalNumberofInvestments,TotalAmountofAssistance
52,WDEXB,AL,2015,0.0,Alabama,119.2008892622124,164.0,1864412.0
53,WDPRB,AL,2015,163313.0,Alabama,119.2008892622124,164.0,1864412.0
54,WDTCB,AL,2015,163313.0,Alabama,119.2008892622124,164.0,1864412.0
55,WSTCB,AL,2015,1565.0,Alabama,119.2008892622124,164.0,1864412.0
56,WWPRB,AL,2015,164877.0,Alabama,119.2008892622124,164.0,1864412.0
57,WYTCB,AL,2015,0.0,Alabama,119.2008892622124,164.0,1864412.0
58,BDFDB,AR,2015,4429.0,Arkansas,59.05336454892492,477.0,13453887.0
59,BDPRP,AR,2015,815.0,Arkansas,59.05336454892492,477.0,13453887.0
60,BFFDB,AR,2015,4429.0,Arkansas,59.05336454892492,477.0,13453887.0
61,BFPRP,AR,2015,815.0,Arkansas,59.05336454892492,477.0,13453887.0
62,CLPRB,AR,2015,1819.0,Arkansas,59.05336454892492,477.0,13453887.0
63,CLPRK,AR,2015,19.893,Arkansas,59.05336454892492,477.0,13453887.0
64,CLPRP,AR,2015,91.0,Arkansas,59.05336454892492,477.0,13453887.0
65,COPRK,AR,2015,5.717,Arkansas,59.05336454892492,477.0,13453887.0
66,EMFDB,AR,2015,0.0,Arkansas,59.05336454892492,477.0,13453887.0
67,ENPRP,AR,2015,0.0,Arkansas,59.05336454892492,477.0,13453887.0
68,GETCB,AR,2015,808.0,Arkansas,59.05336454892492,477.0,13453887.0
69,HYTCB,AR,2015,33261.0,Arkansas,59.05336454892492,477.0,13453887.0
70,NCPRB,AR,2015,34194.0,Arkansas,59.05336454892492,477.0,13453887.0
71,NGMPB,AR,2015,1031466.0,Arkansas,59.05336454892492,477.0,13453887.0
72,NGMPK,AR,2015,1.021,Arkansas,59.05336454892492,477.0,13453887.0
73,NGMPP,AR,2015,1010382.0,Arkansas,59.05336454892492,477.0,13453887.0
74,NUETB,AR,2015,144716.0,Arkansas,59.05336454892492,477.0,13453887.0
75,PAPRB,AR,2015,35611.0,Arkansas,59.05336454892492,477.0,13453887.0
76,PAPRP,AR,2015,6229.0,Arkansas,59.05336454892492,477.0,13453887.0
77,REPRB,AR,2015,117840.0,Arkansas,59.05336454892492,477.0,13453887.0
78,SOTCB,AR,2015,124.0,Arkansas,59.05336454892492,477.0,13453887.0
79,TEPRB,AR,2015,1331452.0,Arkansas,59.05336454892492,477.0,13453887.0
80,TETCB,AR,2015,1062359.0,Arkansas,59.05336454892492,477.0,13453887.0
81,WDEXB,AR,2015,0.0,Arkansas,59.05336454892492,477.0,13453887.0
82,WDPRB,AR,2015,75417.0,Arkansas,59.05336454892492,477.0,13453887.0
83,WDTCB,AR,2015,75417.0,Arkansas,59.05336454892492,477.0,13453887.0
84,WSTCB,AR,2015,3799.0,Arkansas,59.05336454892492,477.0,13453887.0
85,WWPRB,AR,2015,79217.0,Arkansas,59.05336454892492,477.0,13453887.0
86,WYTCB,AR,2015,0.0,Arkansas,59.05336454892492,477.0,13453887.0
87,BDFDB,AZ,2015,12.0,Arizona,94.9787844294639,65.0,1724853.0
88,BDPRP,AZ,2015,2.0,Arizona,94.9787844294639,65.0,1724853.0
89,BFFDB,AZ,2015,6602.0,Arizona,94.9787844294639,65.0,1724853.0
90,BFPRP,AZ,2015,1157.0,Arizona,94.9787844294639,65.0,1724853.0
91,CLPRB,AZ,2015,146450.0,Arizona,94.9787844294639,65.0,1724853.0
92,CLPRK,AZ,2015,21.522,Arizona,94.9787844294639,65.0,1724853.0
93,CLPRP,AZ,2015,6805.0,Arizona,94.9787844294639,65.0,1724853.0
94,COPRK,AZ,2015,5.717,Arizona,94.9787844294639,65.0,1724853.0
95,EMFDB,AZ,2015,6590.0,Arizona,94.9787844294639,65.0,1724853.0
96,ENPRP,AZ,2015,1154.0,Arizona,94.9787844294639,65.0,1724853.0
97,GETCB,AZ,2015,345.0,Arizona,94.9787844294639,65.0,1724853.0
98,HYTCB,AZ,2015,60906.0,Arizona,94.9787844294639,65.0,1724853.0
99,NCPRB,AZ,2015,113693.0,Arizona,94.9787844294639,65.0,1724853.0
100,NGMPB,AZ,2015,99.0,Arizona,94.9787844294639,65.0,1724853.0
101,NGMPK,AZ,2015,1.04,Arizona,94.9787844294639,65.0,1724853.0
102,NGMPP,AZ,2015,95.0,Arizona,94.9787844294639,65.0,1724853.0
103,NUETB,AZ,2015,340153.0,Arizona,94.9787844294639,65.0,1724853.0
104,PAPRB,AZ,2015,212.0,Arizona,94.9787844294639,65.0,1724853.0
105,PAPRP,AZ,2015,37.0,Arizona,94.9787844294639,65.0,1724853.0
106,REPRB,AZ,2015,128954.0,Arizona,94.9787844294639,65.0,1724853.0
107,SOTCB,AZ,2015,48229.0,Arizona,94.9787844294639,65.0,1724853.0
108,TEPRB,AZ,2015,615867.0,Arizona,94.9787844294639,65.0,1724853.0
109,TETCB,AZ,2015,1495858.0,Arizona,94.9787844294639,65.0,1724853.0
110,WDEXB,AZ,2015,0.0,Arizona,94.9787844294639,65.0,1724853.0
111,WDPRB,AZ,2015,8001.0,Arizona,94.9787844294639,65.0,1724853.0
112,WDTCB,AZ,2015,8001.0,Arizona,94.9787844294639,65.0,1724853.0
113,WSTCB,AZ,2015,658.0,Arizona,94.9787844294639,65.0,1724853.0
114,WWPRB,AZ,2015,8659.0,Arizona,94.9787844294639,65.0,1724853.0
115,WYTCB,AZ,2015,4213.0,Arizona,94.9787844294639,65.0,1724853.0
116,BDFDB,CA,2015,4057.0,California,351.4085160454852,1023.0,30077512.0
117,BDPRP,CA,2015,747.0,California,351.4085160454852,1023.0,30077512.0
118,BFFDB,CA,2015,30601.0,California,351.4085160454852,1023.0,30077512.0
119,BFPRP,CA,2015,5397.0,California,351.4085160454852,1023.0,30077512.0
120,CLPRB,CA,2015,0.0,California,351.4085160454852,1023.0,30077512.0
121,CLPRK,CA,2015,0.0,California,351.4085160454852,1023.0,30077512.0
122,CLPRP,CA,2015,0.0,California,351.4085160454852,1023.0,30077512.0
123,COPRK,CA,2015,5.717,California,351.4085160454852,1023.0,30077512.0
124,EMFDB,CA,2015,26544.0,California,351.4085160454852,1023.0,30077512.0
125,ENPRP,CA,2015,4650.0,California,351.4085160454852,1023.0,30077512.0
126,GETCB,CA,2015,112878.0,California,351.4085160454852,1023.0,30077512.0
127,HYTCB,CA,2015,128681.0,California,351.4085160454852,1023.0,30077512.0
128,NCPRB,CA,2015,567365.0,California,351.4085160454852,1023.0,30077512.0
129,NGMPB,CA,2015,271086.0,California,351.4085160454852,1023.0,30077512.0
130,NGMPK,CA,2015,1.146,California,351.4085160454852,1023.0,30077512.0
131,NGMPP,CA,2015,236648.0,California,351.4085160454852,1023.0,30077512.0
132,NUETB,CA,2015,193529.0,California,351.4085160454852,1023.0,30077512.0
133,PAPRB,CA,2015,1150741.0,California,351.4085160454852,1023.0,30077512.0
134,PAPRP,CA,2015,201284.0,California,351.4085160454852,1023.0,30077512.0
135,REPRB,CA,2015,737527.0,California,351.4085160454852,1023.0,30077512.0
136,SOTCB,CA,2015,211839.0,California,351.4085160454852,1023.0,30077512.0
137,TEPRB,CA,2015,2352883.0,California,351.4085160454852,1023.0,30077512.0
138,TETCB,CA,2015,7525491.0,California,351.4085160454852,1023.0,30077512.0
139,WDEXB,CA,2015,0.0,California,351.4085160454852,1023.0,30077512.0
140,WDPRB,CA,2015,98852.0,California,351.4085160454852,1023.0,30077512.0
141,WDTCB,CA,2015,98852.0,California,351.4085160454852,1023.0,30077512.0
142,WSTCB,CA,2015,40708.0,California,351.4085160454852,1023.0,30077512.0
143,WWPRB,CA,2015,139561.0,California,351.4085160454852,1023.0,30077512.0
144,WYTCB,CA,2015,113967.0,California,351.4085160454852,1023.0,30077512.0
145,BDFDB,CO,2015,0.0,Colorado,91.30387160588475,206.0,1658730.0
146,BDPRP,CO,2015,0.0,Colorado,91.30387160588475,206.0,1658730.0
147,BFFDB,CO,2015,19861.0,Colorado,91.30387160588475,206.0,1658730.0
148,BFPRP,CO,2015,3479.0,Colorado,91.30387160588475,206.0,1658730.0
149,CLPRB,CO,2015,403605.0,Colorado,91.30387160588475,206.0,1658730.0
150,CLPRK,CO,2015,21.379,Colorado,91.30387160588475,206.0,1658730.0
151,CLPRP,CO,2015,18879.0,Colorado,91.30387160588475,206.0,1658730.0
152,COPRK,CO,2015,5.717,Colorado,91.30387160588475,206.0,1658730.0
153,EMFDB,CO,2015,19861.0,Colorado,91.30387160588475,206.0,1658730.0
154,ENPRP,CO,2015,3479.0,Colorado,91.30387160588475,206.0,1658730.0
155,GETCB,CO,2015,759.0,Colorado,91.30387160588475,206.0,1658730.0
156,HYTCB,CO,2015,15098.0,Colorado,91.30387160588475,206.0,1658730.0
157,NCPRB,CO,2015,91789.0,Colorado,91.30387160588475,206.0,1658730.0
158,NGMPB,CO,2015,1965188.0,Colorado,91.30387160588475,206.0,1658730.0
159,NGMPK,CO,2015,1.164,Colorado,91.30387160588475,206.0,1658730.0
160,NGMPP,CO,2015,1688733.0,Colorado,91.30387160588475,206.0,1658730.0
161,NUETB,CO,2015,0.0,Colorado,91.30387160588475,206.0,1658730.0
162,PAPRB,CO,2015,698737.0,Colorado,91.30387160588475,206.0,1658730.0
163,PAPRP,CO,2015,122221.0,Colorado,91.30387160588475,206.0,1658730.0
164,REPRB,CO,2015,126586.0,Colorado,91.30387160588475,206.0,1658730.0
165,SOTCB,CO,2015,6270.0,Colorado,91.30387160588475,206.0,1658730.0
166,TEPRB,CO,2015,3194117.0,Colorado,91.30387160588475,206.0,1658730.0
167,TETCB,CO,2015,1501006.0,Colorado,91.30387160588475,206.0,1658730.0
168,WDEXB,CO,2015,0.0,Colorado,91.30387160588475,206.0,1658730.0
169,WDPRB,CO,2015,13804.0,Colorado,91.30387160588475,206.0,1658730.0
170,WDTCB,CO,2015,13804.0,Colorado,91.30387160588475,206.0,1658730.0
171,WSTCB,CO,2015,1133.0,Colorado,91.30387160588475,206.0,1658730.0
172,WWPRB,CO,2015,14936.0,Colorado,91.30387160588475,206.0,1658730.0
173,WYTCB,CO,2015,69662.0,Colorado,91.30387160588475,206.0,1658730.0
174,BDFDB,CT,2015,715.0,Connecticut,36.32904924279243,33.0,1340702.0
175,BDPRP,CT,2015,132.0,Connecticut,36.32904924279243,33.0,1340702.0
176,BFFDB,CT,2015,715.0,Connecticut,36.32904924279243,33.0,1340702.0
177,BFPRP,CT,2015,132.0,Connecticut,36.32904924279243,33.0,1340702.0
178,CLPRB,CT,2015,0.0,Connecticut,36.32904924279243,33.0,1340702.0
179,CLPRK,CT,2015,0.0,Connecticut,36.32904924279243,33.0,1340702.0
180,CLPRP,CT,2015,0.0,Connecticut,36.32904924279243,33.0,1340702.0
181,COPRK,CT,2015,0.0,Connecticut,36.32904924279243,33.0,1340702.0
182,EMFDB,CT,2015,0.0,Connecticut,36.32904924279243,33.0,1340702.0
183,ENPRP,CT,2015,0.0,Connecticut,36.32904924279243,33.0,1340702.0
184,GETCB,CT,2015,21.0,Connecticut,36.32904924279243,33.0,1340702.0
185,HYTCB,CT,2015,2819.0,Connecticut,36.32904924279243,33.0,1340702.0
186,NCPRB,CT,2015,5792.0,Connecticut,36.32904924279243,33.0,1340702.0
187,NGMPB,CT,2015,0.0,Connecticut,36.32904924279243,33.0,1340702.0
188,NGMPK,CT,2015,0.0,Connecticut,36.32904924279243,33.0,1340702.0
189,NGMPP,CT,2015,0.0,Connecticut,36.32904924279243,33.0,1340702.0
190,NUETB,CT,2015,182083.0,Connecticut,36.32904924279243,33.0,1340702.0
191,PAPRB,CT,2015,0.0,Connecticut,36.32904924279243,33.0,1340702.0
192,PAPRP,CT,2015,0.0,Connecticut,36.32904924279243,33.0,1340702.0
193,REPRB,CT,2015,33234.0,Connecticut,36.32904924279243,33.0,1340702.0
194,SOTCB,CT,2015,2952.0,Connecticut,36.32904924279243,33.0,1340702.0
195,TEPRB,CT,2015,215318.0,Connecticut,36.32904924279243,33.0,1340702.0
196,TETCB,CT,2015,756746.0,Connecticut,36.32904924279243,33.0,1340702.0
197,WDEXB,CT,2015,0.0,Connecticut,36.32904924279243,33.0,1340702.0
198,WDPRB,CT,2015,15661.0,Connecticut,36.32904924279243,33.0,1340702.0
199,WDTCB,CT,2015,15661.0,Connecticut,36.32904924279243,33.0,1340702.0
200,WSTCB,CT,2015,11067.0,Connecticut,36.32904924279243,33.0,1340702.0
201,WWPRB,CT,2015,26728.0,Connecticut,36.32904924279243,33.0,1340702.0
202,WYTCB,CT,2015,0.0,Connecticut,36.32904924279243,33.0,1340702.0
203,BDFDB,DC,2015,0.0,District of Columbia,2.956880797193725,,
204,BDPRP,DC,2015,0.0,District of Columbia,2.956880797193725,,
205,BFFDB,DC,2015,0.0,District of Columbia,2.956880797193725,,
206,BFPRP,DC,2015,0.0,District of Columbia,2.956880797193725,,
207,CLPRB,DC,2015,0.0,District of Columbia,2.956880797193725,,
208,CLPRK,DC,2015,0.0,District of Columbia,2.956880797193725,,
209,CLPRP,DC,2015,0.0,District of Columbia,2.956880797193725,,
210,COPRK,DC,2015,0.0,District of Columbia,2.956880797193725,,
211,EMFDB,DC,2015,0.0,District of Columbia,2.956880797193725,,
212,ENPRP,DC,2015,0.0,District of Columbia,2.956880797193725,,
213,GETCB,DC,2015,22.0,District of Columbia,2.956880797193725,,
214,HYTCB,DC,2015,0.0,District of Columbia,2.956880797193725,,
215,NCPRB,DC,2015,326.0,District of Columbia,2.956880797193725,,
216,NGMPB,DC,2015,0.0,District of Columbia,2.956880797193725,,
217,NGMPK,DC,2015,0.0,District of Columbia,2.956880797193725,,
218,NGMPP,DC,2015,0.0,District of Columbia,2.956880797193725,,
219,NUETB,DC,2015,0.0,District of Columbia,2.956880797193725,,
220,PAPRB,DC,2015,0.0,District of Columbia,2.956880797193725,,
221,PAPRP,DC,2015,0.0,District of Columbia,2.956880797193725,,
222,REPRB,DC,2015,824.0,District of Columbia,2.956880797193725,,
223,SOTCB,DC,2015,304.0,District of Columbia,2.956880797193725,,
224,TEPRB,DC,2015,824.0,District of Columbia,2.956880797193725,,
225,TETCB,DC,2015,178222.0,District of Columbia,2.956880797193725,,
226,WDEXB,DC,2015,0.0,District of Columbia,2.956880797193725,,
227,WDPRB,DC,2015,0.0,District of Columbia,2.956880797193725,,
228,WDTCB,DC,2015,0.0,District of Columbia,2.956880797193725,,
229,WSTCB,DC,2015,498.0,District of Columbia,2.956880797193725,,
230,WWPRB,DC,2015,498.0,District of Columbia,2.956880797193725,,
231,WYTCB,DC,2015,0.0,District of Columbia,2.956880797193725,,
232,BDFDB,DE,2015,0.0,Delaware,13.90539540125372,68.0,1452666.0
233,BDPRP,DE,2015,0.0,Delaware,13.90539540125372,68.0,1452666.0
234,BFFDB,DE,2015,0.0,Delaware,13.90539540125372,68.0,1452666.0
235,BFPRP,DE,2015,0.0,Delaware,13.90539540125372,68.0,1452666.0
236,CLPRB,DE,2015,0.0,Delaware,13.90539540125372,68.0,1452666.0
237,CLPRK,DE,2015,0.0,Delaware,13.90539540125372,68.0,1452666.0
238,CLPRP,DE,2015,0.0,Delaware,13.90539540125372,68.0,1452666.0
239,COPRK,DE,2015,0.0,Delaware,13.90539540125372,68.0,1452666.0
240,EMFDB,DE,2015,0.0,Delaware,13.90539540125372,68.0,1452666.0
241,ENPRP,DE,2015,0.0,Delaware,13.90539540125372,68.0,1452666.0
242,GETCB,DE,2015,430.0,Delaware,13.90539540125372,68.0,1452666.0
243,HYTCB,DE,2015,0.0,Delaware,13.90539540125372,68.0,1452666.0
244,NCPRB,DE,2015,1708.0,Delaware,13.90539540125372,68.0,1452666.0
245,NGMPB,DE,2015,0.0,Delaware,13.90539540125372,68.0,1452666.0
246,NGMPK,DE,2015,0.0,Delaware,13.90539540125372,68.0,1452666.0
247,NGMPP,DE,2015,0.0,Delaware,13.90539540125372,68.0,1452666.0
248,NUETB,DE,2015,0.0,Delaware,13.90539540125372,68.0,1452666.0
249,PAPRB,DE,2015,0.0,Delaware,13.90539540125372,68.0,1452666.0
250,PAPRP,DE,2015,0.0,Delaware,13.90539540125372,68.0,1452666.0
251,REPRB,DE,2015,3517.0,Delaware,13.90539540125372,68.0,1452666.0
252,SOTCB,DE,2015,1230.0,Delaware,13.90539540125372,68.0,1452666.0
253,TEPRB,DE,2015,3517.0,Delaware,13.90539540125372,68.0,1452666.0
254,TETCB,DE,2015,284672.0,Delaware,13.90539540125372,68.0,1452666.0
255,WDEXB,DE,2015,0.0,Delaware,13.90539540125372,68.0,1452666.0
256,WDPRB,DE,2015,1044.0,Delaware,13.90539540125372,68.0,1452666.0
257,WDTCB,DE,2015,1044.0,Delaware,13.90539540125372,68.0,1452666.0
258,WSTCB,DE,2015,765.0,Delaware,13.90539540125372,68.0,1452666.0
259,WWPRB,DE,2015,1809.0,Delaware,13.90539540125372,68.0,1452666.0
260,WYTCB,DE,2015,48.0,Delaware,13.90539540125372,68.0,1452666.0
261,BDFDB,FL,2015,645.0,Florida,237.3833592000566,45.0,3527420.0
262,BDPRP,FL,2015,119.0,Florida,237.3833592000566,45.0,3527420.0
263,BFFDB,FL,2015,645.0,Florida,237.3833592000566,45.0,3527420.0
264,BFPRP,FL,2015,119.0,Florida,237.3833592000566,45.0,3527420.0
265,CLPRB,FL,2015,0.0,Florida,237.3833592000566,45.0,3527420.0
266,CLPRK,FL,2015,0.0,Florida,237.3833592000566,45.0,3527420.0
267,CLPRP,FL,2015,0.0,Florida,237.3833592000566,45.0,3527420.0
268,COPRK,FL,2015,5.717,Florida,237.3833592000566,45.0,3527420.0
269,EMFDB,FL,2015,0.0,Florida,237.3833592000566,45.0,3527420.0
270,ENPRP,FL,2015,0.0,Florida,237.3833592000566,45.0,3527420.0
271,GETCB,FL,2015,10056.0,Florida,237.3833592000566,45.0,3527420.0
272,HYTCB,FL,2015,2277.0,Florida,237.3833592000566,45.0,3527420.0
273,NCPRB,FL,2015,42466.0,Florida,237.3833592000566,45.0,3527420.0
274,NGMPB,FL,2015,1162.0,Florida,237.3833592000566,45.0,3527420.0
275,NGMPK,FL,2015,1.521,Florida,237.3833592000566,45.0,3527420.0
276,NGMPP,FL,2015,764.0,Florida,237.3833592000566,45.0,3527420.0
277,NUETB,FL,2015,294099.0,Florida,237.3833592000566,45.0,3527420.0
278,PAPRB,FL,2015,12623.0,Florida,237.3833592000566,45.0,3527420.0
279,PAPRP,FL,2015,2208.0,Florida,237.3833592000566,45.0,3527420.0
280,REPRB,FL,2015,223761.0,Florida,237.3833592000566,45.0,3527420.0
281,SOTCB,FL,2015,30133.0,Florida,237.3833592000566,45.0,3527420.0
282,TEPRB,FL,2015,531646.0,Florida,237.3833592000566,45.0,3527420.0
283,TETCB,FL,2015,4324701.0,Florida,237.3833592000566,45.0,3527420.0
284,WDEXB,FL,2015,0.0,Florida,237.3833592000566,45.0,3527420.0
285,WDPRB,FL,2015,111608.0,Florida,237.3833592000566,45.0,3527420.0
286,WDTCB,FL,2015,111608.0,Florida,237.3833592000566,45.0,3527420.0
287,WSTCB,FL,2015,69043.0,Florida,237.3833592000566,45.0,3527420.0
288,WWPRB,FL,2015,180650.0,Florida,237.3833592000566,45.0,3527420.0
289,WYTCB,FL,2015,0.0,Florida,237.3833592000566,45.0,3527420.0
290,BDFDB,GA,2015,1242.0,Georgia,145.6756383226008,247.0,6155856.0
291,BDPRP,GA,2015,229.0,Georgia,145.6756383226008,247.0,6155856.0
292,BFFDB,GA,2015,14563.0,Georgia,145.6756383226008,247.0,6155856.0
293,BFPRP,GA,2015,2562.0,Georgia,145.6756383226008,247.0,6155856.0
294,CLPRB,GA,2015,0.0,Georgia,145.6756383226008,247.0,6155856.0
295,CLPRK,GA,2015,0.0,Georgia,145.6756383226008,247.0,6155856.0
296,CLPRP,GA,2015,0.0,Georgia,145.6756383226008,247.0,6155856.0
297,COPRK,GA,2015,0.0,Georgia,145.6756383226008,247.0,6155856.0
298,EMFDB,GA,2015,13321.0,Georgia,145.6756383226008,247.0,6155856.0
299,ENPRP,GA,2015,2334.0,Georgia,145.6756383226008,247.0,6155856.0
300,GETCB,GA,2015,315.0,Georgia,145.6756383226008,247.0,6155856.0
301,HYTCB,GA,2015,27804.0,Georgia,145.6756383226008,247.0,6155856.0
302,NCPRB,GA,2015,30579.0,Georgia,145.6756383226008,247.0,6155856.0
303,NGMPB,GA,2015,0.0,Georgia,145.6756383226008,247.0,6155856.0
304,NGMPK,GA,2015,0.0,Georgia,145.6756383226008,247.0,6155856.0
305,NGMPP,GA,2015,0.0,Georgia,145.6756383226008,247.0,6155856.0
306,NUETB,GA,2015,353883.0,Georgia,145.6756383226008,247.0,6155856.0
307,PAPRB,GA,2015,0.0,Georgia,145.6756383226008,247.0,6155856.0
308,PAPRP,GA,2015,0.0,Georgia,145.6756383226008,247.0,6155856.0
309,REPRB,GA,2015,269514.0,Georgia,145.6756383226008,247.0,6155856.0
310,SOTCB,GA,2015,2461.0,Georgia,145.6756383226008,247.0,6155856.0
311,TEPRB,GA,2015,623396.0,Georgia,145.6756383226008,247.0,6155856.0
312,TETCB,GA,2015,2978591.0,Georgia,145.6756383226008,247.0,6155856.0
313,WDEXB,GA,2015,0.0,Georgia,145.6756383226008,247.0,6155856.0
314,WDPRB,GA,2015,195948.0,Georgia,145.6756383226008,247.0,6155856.0
315,WDTCB,GA,2015,195948.0,Georgia,145.6756383226008,247.0,6155856.0
316,WSTCB,GA,2015,28423.0,Georgia,145.6756383226008,247.0,6155856.0
317,WWPRB,GA,2015,224371.0,Georgia,145.6756383226008,247.0,6155856.0
318,WYTCB,GA,2015,0.0,Georgia,145.6756383226008,247.0,6155856.0
319,BDFDB,HI,2015,383.0,Hawaii,19.78103679676448,16.0,1033143.0
320,BDPRP,HI,2015,70.0,Hawaii,19.78103679676448,16.0,1033143.0
321,BFFDB,HI,2015,383.0,Hawaii,19.78103679676448,16.0,1033143.0
322,BFPRP,HI,2015,70.0,Hawaii,19.78103679676448,16.0,1033143.0
323,CLPRB,HI,2015,0.0,Hawaii,19.78103679676448,16.0,1033143.0
324,CLPRK,HI,2015,0.0,Hawaii,19.78103679676448,16.0,1033143.0
325,CLPRP,HI,2015,0.0,Hawaii,19.78103679676448,16.0,1033143.0
326,COPRK,HI,2015,0.0,Hawaii,19.78103679676448,16.0,1033143.0
327,EMFDB,HI,2015,0.0,Hawaii,19.78103679676448,16.0,1033143.0
328,ENPRP,HI,2015,0.0,Hawaii,19.78103679676448,16.0,1033143.0
329,GETCB,HI,2015,2154.0,Hawaii,19.78103679676448,16.0,1033143.0
330,HYTCB,HI,2015,1129.0,Hawaii,19.78103679676448,16.0,1033143.0
331,NCPRB,HI,2015,17353.0,Hawaii,19.78103679676448,16.0,1033143.0
332,NGMPB,HI,2015,0.0,Hawaii,19.78103679676448,16.0,1033143.0
333,NGMPK,HI,2015,0.0,Hawaii,19.78103679676448,16.0,1033143.0
334,NGMPP,HI,2015,0.0,Hawaii,19.78103679676448,16.0,1033143.0
335,NUETB,HI,2015,0.0,Hawaii,19.78103679676448,16.0,1033143.0
336,PAPRB,HI,2015,0.0,Hawaii,19.78103679676448,16.0,1033143.0
337,PAPRP,HI,2015,0.0,Hawaii,19.78103679676448,16.0,1033143.0
338,REPRB,HI,2015,24957.0,Hawaii,19.78103679676448,16.0,1033143.0
